FK_DateID;FK_Product;FK_Customer;DD_OrderID;ShipMode;total_cost;items_number
617;6619;1611;CA-2015-103807;Standard Class;21.19;2
617;5302;1611;CA-2015-103807;Standard Class;21.19;2
174;849;3578;CA-2015-103849;Standard Class;225.01;3
174;7765;3578;CA-2015-103849;Standard Class;225.01;3
174;6749;3578;CA-2015-103849;Standard Class;225.01;3
415;1432;571;CA-2015-103940;Standard Class;260.79;4
415;5979;571;CA-2015-103940;Standard Class;260.79;4
415;6441;571;CA-2015-103940;Standard Class;260.79;4
415;3477;571;CA-2015-103940;Standard Class;260.79;4
84;8031;2978;CA-2015-103989;First Class;590.76;7
84;4485;2978;CA-2015-103989;First Class;590.76;7
84;5969;2978;CA-2015-103989;First Class;590.76;7
84;1329;2978;CA-2015-103989;First Class;590.76;7
84;6928;2978;CA-2015-103989;First Class;590.76;7
84;1124;2978;CA-2015-103989;First Class;590.76;7
84;3113;2978;CA-2015-103989;First Class;590.76;7
359;871;2360;CA-2015-104178;Standard Class;176.14;4
359;5807;2360;CA-2015-104178;Standard Class;176.14;4
359;6392;2360;CA-2015-104178;Standard Class;176.14;4
359;6889;2360;CA-2015-104178;Standard Class;176.14;4
55;618;1114;CA-2015-104269;Second Class;457.56;1
254;6602;2829;CA-2015-104283;Standard Class;616.14;3
254;1515;2829;CA-2015-104283;Standard Class;616.14;3
254;6395;2829;CA-2015-104283;Standard Class;616.14;3
237;7258;1167;CA-2015-104402;Standard Class;65.97;1
213;786;872;CA-2015-104472;Standard Class;133.12;2
213;3230;872;CA-2015-104472;Standard Class;133.12;2
65;2218;957;CA-2015-104563;Standard Class;1143.82;4
65;663;957;CA-2015-104563;Standard Class;1143.82;4
65;482;957;CA-2015-104563;Standard Class;1143.82;4
65;5975;957;CA-2015-104563;Standard Class;1143.82;4
692;7724;4299;CA-2015-104738;Second Class;609.61;5
692;3382;4299;CA-2015-104738;Second Class;609.61;5
692;7052;4299;CA-2015-104738;Second Class;609.61;5
692;7440;4299;CA-2015-104738;Second Class;609.61;5
692;4262;4299;CA-2015-104738;Second Class;609.61;5
632;5950;4460;CA-2015-104773;Standard Class;60.41;1
192;2635;670;CA-2015-104780;Standard Class;31.84;1
32;3703;3089;CA-2015-104808;Second Class;17.24;1
567;5472;2227;CA-2015-104829;Second Class;21.98;1
637;5613;888;CA-2015-104976;Standard Class;34.68;1
382;1729;4441;CA-2015-105165;First Class;469.04;5
382;2820;4441;CA-2015-105165;First Class;469.04;5
382;7451;4441;CA-2015-105165;First Class;469.04;5
382;6930;4441;CA-2015-105165;First Class;469.04;5
382;2574;4441;CA-2015-105165;First Class;469.04;5
111;4554;3601;CA-2015-105172;Standard Class;18.90;1
601;4574;1212;CA-2015-105249;Same Day;460.09;3
601;2;1212;CA-2015-105249;Same Day;460.09;3
601;6491;1212;CA-2015-105249;Same Day;460.09;3
546;2566;268;CA-2015-105270;Standard Class;143.12;2
546;305;268;CA-2015-105270;Standard Class;143.12;2
579;3279;1585;CA-2015-105340;First Class;6.92;1
7;3733;4757;CA-2015-105417;Standard Class;87.15;2
7;1454;4757;CA-2015-105417;Standard Class;87.15;2
58;1652;1595;CA-2015-105648;Standard Class;626.35;1
209;3711;2213;CA-2015-105872;Standard Class;70.36;1
546;6387;3603;CA-2015-105893;Standard Class;665.88;1
588;7433;3322;CA-2015-105984;Same Day;1661.02;2
588;294;3322;CA-2015-105984;Same Day;1661.02;2
4;2504;2398;CA-2015-106054;First Class;12.78;1
221;1601;3473;CA-2015-106229;Second Class;268.93;1
678;6512;877;CA-2015-106264;Standard Class;15.39;2
678;995;877;CA-2015-106264;Standard Class;15.39;2
623;7779;635;CA-2015-106376;Standard Class;1280.99;2
623;2525;635;CA-2015-106376;Standard Class;1280.99;2
520;3866;1810;CA-2015-106439;Standard Class;1007.93;9
520;7136;1810;CA-2015-106439;Standard Class;1007.93;9
520;4881;1810;CA-2015-106439;Standard Class;1007.93;9
520;2345;1810;CA-2015-106439;Standard Class;1007.93;9
520;587;1810;CA-2015-106439;Standard Class;1007.93;9
520;3460;1810;CA-2015-106439;Standard Class;1007.93;9
520;6372;1810;CA-2015-106439;Standard Class;1007.93;9
520;6147;1810;CA-2015-106439;Standard Class;1007.93;9
520;4379;1810;CA-2015-106439;Standard Class;1007.93;9
380;5894;3466;CA-2015-106572;Standard Class;264.32;1
356;3497;3795;CA-2015-106719;Same Day;8.28;1
625;6072;3983;CA-2015-106726;First Class;1261.33;1
689;6201;1183;CA-2015-106803;Standard Class;144.36;2
689;6729;1183;CA-2015-106803;Standard Class;144.36;2
182;1399;232;CA-2015-106810;Standard Class;310.88;1
376;6672;558;CA-2015-106971;Standard Class;475.94;1
272;3239;1390;CA-2015-107139;Standard Class;180.96;1
446;6022;1911;CA-2015-107153;Standard Class;46.26;1
32;4849;1136;CA-2015-107181;Standard Class;117.13;2
32;3878;1136;CA-2015-107181;Standard Class;117.13;2
360;3303;635;CA-2015-107398;Standard Class;30.24;3
360;3368;635;CA-2015-107398;Standard Class;30.24;3
360;3854;635;CA-2015-107398;Standard Class;30.24;3
524;4538;3843;CA-2015-107454;Standard Class;124.20;2
524;1341;3843;CA-2015-107454;Standard Class;124.20;2
57;4134;2679;CA-2015-107524;Standard Class;47.76;2
57;4930;2679;CA-2015-107524;Standard Class;47.76;2
643;4078;3536;CA-2015-107573;Standard Class;23.47;1
267;7817;1554;CA-2015-107594;Standard Class;79.56;2
267;2259;1554;CA-2015-107594;Standard Class;79.56;2
41;4870;4372;CA-2015-107706;Second Class;16.17;1
36;6664;888;CA-2015-107755;Standard Class;115.36;1
515;7508;658;CA-2015-107769;Standard Class;257.98;1
150;5953;2715;CA-2015-107811;Standard Class;661.50;2
150;341;2715;CA-2015-107811;Standard Class;661.50;2
389;2209;2952;CA-2015-107818;Standard Class;1771.52;4
389;5938;2952;CA-2015-107818;Standard Class;1771.52;4
389;2554;2952;CA-2015-107818;Standard Class;1771.52;4
389;247;2952;CA-2015-107818;Standard Class;1771.52;4
357;3090;2418;CA-2015-107916;First Class;25.95;2
357;1414;2418;CA-2015-107916;First Class;25.95;2
223;3762;3822;CA-2015-108147;Standard Class;1745.36;2
223;6320;3822;CA-2015-108147;Standard Class;1745.36;2
34;3113;1290;CA-2015-108182;Second Class;8.95;1
455;6549;1670;CA-2015-108189;First Class;598.14;7
455;7605;1670;CA-2015-108189;First Class;598.14;7
455;7567;1670;CA-2015-108189;First Class;598.14;7
455;4310;1670;CA-2015-108189;First Class;598.14;7
455;6976;1670;CA-2015-108189;First Class;598.14;7
455;5193;1670;CA-2015-108189;First Class;598.14;7
455;4258;1670;CA-2015-108189;First Class;598.14;7
657;4748;1591;CA-2015-108273;Standard Class;92.85;2
657;1066;1591;CA-2015-108273;Standard Class;92.85;2
518;1710;225;CA-2015-108609;Second Class;1421.66;1
509;4970;1103;CA-2015-108707;Standard Class;10.36;1
204;3762;3168;CA-2015-108861;Standard Class;136.96;1
456;4234;1346;CA-2015-108903;Same Day;212.95;3
456;2711;1346;CA-2015-108903;Same Day;212.95;3
456;6961;1346;CA-2015-108903;Same Day;212.95;3
341;4840;1033;CA-2015-109043;First Class;243.60;2
341;2153;1033;CA-2015-109043;First Class;243.60;2
668;4695;2086;CA-2015-109127;Standard Class;17.28;1
535;809;1194;CA-2015-109134;Standard Class;20.04;1
261;2340;298;CA-2015-109218;Second Class;32.40;1
12;238;3376;CA-2015-109232;Second Class;545.94;1
340;3529;1017;CA-2015-109302;Standard Class;196.21;1
48;6732;2757;CA-2015-109491;Standard Class;82.63;2
48;776;2757;CA-2015-109491;Standard Class;82.63;2
466;6143;4750;CA-2015-109680;First Class;386.34;1
371;3995;2803;CA-2015-109855;Standard Class;380.74;2
371;6943;2803;CA-2015-109855;Standard Class;380.74;2
302;7963;3566;CA-2015-109890;Standard Class;35.98;1
340;1154;697;CA-2015-109897;Standard Class;891.77;2
340;7909;697;CA-2015-109897;Standard Class;891.77;2
289;2807;465;CA-2015-109904;Second Class;17.94;1
383;4791;2854;CA-2015-109918;Second Class;131.84;3
383;3896;2854;CA-2015-109918;Second Class;131.84;3
383;6566;2854;CA-2015-109918;Second Class;131.84;3
634;5180;4750;CA-2015-109932;First Class;247.78;2
634;5821;4750;CA-2015-109932;First Class;247.78;2
625;1144;2793;CA-2015-110030;Second Class;23.97;1
327;2739;4308;CA-2015-110065;Standard Class;151.95;2
327;7724;4308;CA-2015-110065;Standard Class;151.95;2
507;823;3059;CA-2015-110072;Standard Class;93.88;1
143;8004;2745;CA-2015-110100;Standard Class;302.37;1
285;5845;487;CA-2015-110184;Standard Class;505.68;2
285;7411;487;CA-2015-110184;Standard Class;505.68;2
162;313;1497;CA-2015-110219;First Class;127.86;1
587;4665;1532;CA-2015-110352;Standard Class;23.68;1
495;566;323;CA-2015-110408;Second Class;2216.80;3
495;7710;323;CA-2015-110408;Second Class;2216.80;3
495;6087;323;CA-2015-110408;Second Class;2216.80;3
337;4469;1532;CA-2015-110527;Standard Class;20.88;1
125;7020;3182;CA-2015-110555;Standard Class;410.10;3
125;7445;3182;CA-2015-110555;Standard Class;410.10;3
125;5957;3182;CA-2015-110555;Standard Class;410.10;3
468;5919;2115;CA-2015-110611;Standard Class;83.92;1
353;5742;3901;CA-2015-110639;Same Day;71.84;2
353;5637;3901;CA-2015-110639;Same Day;71.84;2
689;7518;232;CA-2015-110786;Standard Class;1365.63;7
689;827;232;CA-2015-110786;Standard Class;1365.63;7
689;4534;232;CA-2015-110786;Standard Class;1365.63;7
689;3615;232;CA-2015-110786;Standard Class;1365.63;7
689;842;232;CA-2015-110786;Standard Class;1365.63;7
689;4903;232;CA-2015-110786;Standard Class;1365.63;7
689;7322;232;CA-2015-110786;Standard Class;1365.63;7
132;2497;2338;CA-2015-110849;Standard Class;323.45;4
132;4270;2338;CA-2015-110849;Standard Class;323.45;4
132;7309;2338;CA-2015-110849;Standard Class;323.45;4
132;2249;2338;CA-2015-110849;Standard Class;323.45;4
211;2471;985;CA-2015-111003;Standard Class;334.68;2
211;3058;985;CA-2015-111003;Standard Class;334.68;2
31;3955;4485;CA-2015-111059;Second Class;97.11;2
31;3517;4485;CA-2015-111059;Second Class;97.11;2
698;6621;3999;CA-2015-111150;Standard Class;77.21;2
698;2177;3999;CA-2015-111150;Standard Class;77.21;2
316;107;4650;CA-2015-111192;Standard Class;1367.84;1
677;1163;2620;CA-2015-111451;First Class;855.27;5
677;382;2620;CA-2015-111451;First Class;855.27;5
677;1367;2620;CA-2015-111451;First Class;855.27;5
677;3955;2620;CA-2015-111451;First Class;855.27;5
677;4436;2620;CA-2015-111451;First Class;855.27;5
344;6672;1220;CA-2015-111500;Standard Class;484.79;4
344;4362;1220;CA-2015-111500;Standard Class;484.79;4
344;3004;1220;CA-2015-111500;Standard Class;484.79;4
344;4933;1220;CA-2015-111500;Standard Class;484.79;4
257;2862;2281;CA-2015-111773;Standard Class;13.92;1
141;5208;3433;CA-2015-111857;Second Class;48.91;1
81;170;1600;CA-2015-111871;Second Class;1198.33;1
158;2396;3353;CA-2015-111899;First Class;43.31;2
158;4314;3353;CA-2015-111899;First Class;43.31;2
161;4873;1806;CA-2015-111934;First Class;47.32;2
161;3912;1806;CA-2015-111934;First Class;47.32;2
449;5825;1521;CA-2015-111962;Standard Class;817.79;2
449;3134;1521;CA-2015-111962;Standard Class;817.79;2
614;2820;1377;CA-2015-112158;First Class;1050.60;3
614;123;1377;CA-2015-112158;First Class;1050.60;3
614;7052;1377;CA-2015-112158;First Class;1050.60;3
2;6244;3662;CA-2015-112326;Standard Class;288.06;3
2;3835;3662;CA-2015-112326;Standard Class;288.06;3
2;4631;3662;CA-2015-112326;Standard Class;288.06;3
103;3669;2407;CA-2015-112403;Same Day;0.85;1
657;2955;2674;CA-2015-112718;Standard Class;1.16;1
399;1333;2909;CA-2015-112837;Standard Class;127.95;1
415;4109;3473;CA-2015-112851;Standard Class;182.94;1
508;4367;268;CA-2015-113047;Same Day;11.85;1
675;5230;2793;CA-2015-113166;First Class;9.56;1
280;3466;1416;CA-2015-113271;Standard Class;172.09;4
280;5354;1416;CA-2015-113271;Standard Class;172.09;4
280;2591;1416;CA-2015-113271;Standard Class;172.09;4
280;170;1416;CA-2015-113271;Standard Class;172.09;4
642;1385;2816;CA-2015-113320;Second Class;30.72;3
642;975;2816;CA-2015-113320;Second Class;30.72;3
642;5910;2816;CA-2015-113320;Second Class;30.72;3
411;6129;245;CA-2015-113362;Standard Class;460.22;2
411;4224;245;CA-2015-113362;Standard Class;460.22;2
396;2146;4154;CA-2015-113383;First Class;336.82;2
396;1046;4154;CA-2015-113383;First Class;336.82;2
644;5078;2550;CA-2015-113579;Second Class;90.24;1
181;5489;159;CA-2015-113768;Standard Class;287.45;2
181;451;159;CA-2015-113768;Standard Class;287.45;2
406;685;395;CA-2015-113859;Standard Class;340.11;1
54;299;4720;CA-2015-113880;Standard Class;651.58;2
54;5481;4720;CA-2015-113880;Standard Class;651.58;2
112;5662;4578;CA-2015-113887;First Class;55.48;1
234;2690;861;CA-2015-113929;Standard Class;115.95;3
234;4209;861;CA-2015-113929;Standard Class;115.95;3
234;3521;861;CA-2015-113929;Standard Class;115.95;3
437;3978;2432;CA-2015-113964;Standard Class;18.46;1
279;4721;1819;CA-2015-114125;Standard Class;68.70;3
279;3606;1819;CA-2015-114125;Standard Class;68.70;3
279;6078;1819;CA-2015-114125;Standard Class;68.70;3
171;2259;104;CA-2015-114181;Second Class;372.28;2
171;186;104;CA-2015-114181;Second Class;372.28;2
535;3711;3010;CA-2015-114251;Standard Class;1476.83;5
535;6347;3010;CA-2015-114251;Standard Class;1476.83;5
535;6705;3010;CA-2015-114251;Standard Class;1476.83;5
535;930;3010;CA-2015-114251;Standard Class;1476.83;5
535;7177;3010;CA-2015-114251;Standard Class;1476.83;5
479;1060;1153;CA-2015-114314;Standard Class;16.23;2
479;4458;1153;CA-2015-114314;Standard Class;16.23;2
350;369;3364;CA-2015-114321;Standard Class;1417.35;3
350;3142;3364;CA-2015-114321;Standard Class;1417.35;3
350;4818;3364;CA-2015-114321;Standard Class;1417.35;3
446;794;4783;CA-2015-114335;Standard Class;337.08;1
180;6935;3450;CA-2015-114433;Standard Class;149.97;1
74;7181;2177;CA-2015-114510;Standard Class;280.27;5
74;6290;2177;CA-2015-114510;Standard Class;280.27;5
74;5938;2177;CA-2015-114510;Standard Class;280.27;5
74;3204;2177;CA-2015-114510;Standard Class;280.27;5
74;3576;2177;CA-2015-114510;Standard Class;280.27;5
673;1979;4570;CA-2015-114517;Standard Class;109.83;2
673;1558;4570;CA-2015-114517;Standard Class;109.83;2
230;2654;1727;CA-2015-114643;Standard Class;14.52;1
68;7472;1727;CA-2015-114790;Second Class;782.63;4
68;4802;1727;CA-2015-114790;Second Class;782.63;4
68;2012;1727;CA-2015-114790;Second Class;782.63;4
68;6664;1727;CA-2015-114790;Second Class;782.63;4
153;2111;286;CA-2015-115056;Same Day;26.13;1
496;675;2874;CA-2015-115084;Standard Class;605.34;1
442;1933;1099;CA-2015-115133;Standard Class;52.75;3
442;6885;1099;CA-2015-115133;Standard Class;52.75;3
442;4791;1099;CA-2015-115133;Standard Class;52.75;3
27;157;2769;CA-2015-115161;First Class;290.66;1
358;4299;3818;CA-2015-115259;Second Class;199.25;4
358;5798;3818;CA-2015-115259;Second Class;199.25;4
358;4164;3818;CA-2015-115259;Second Class;199.25;4
358;4153;3818;CA-2015-115259;Second Class;199.25;4
570;3083;67;CA-2015-115336;Standard Class;14.48;1
329;6595;3887;CA-2015-115357;Second Class;62.91;1
16;4508;1290;CA-2015-115791;Second Class;299.96;4
16;8024;1290;CA-2015-115791;Second Class;299.96;4
16;903;1290;CA-2015-115791;Second Class;299.96;4
16;3190;1290;CA-2015-115791;Second Class;299.96;4
227;2536;525;CA-2015-115812;Standard Class;3714.30;7
227;3767;525;CA-2015-115812;Standard Class;3714.30;7
227;7650;525;CA-2015-115812;Standard Class;3714.30;7
227;1551;525;CA-2015-115812;Standard Class;3714.30;7
227;946;525;CA-2015-115812;Standard Class;3714.30;7
227;7693;525;CA-2015-115812;Standard Class;3714.30;7
227;2040;525;CA-2015-115812;Standard Class;3714.30;7
524;7583;4209;CA-2015-115889;Standard Class;409.30;2
524;6283;4209;CA-2015-115889;Standard Class;409.30;2
589;2791;3412;CA-2015-115973;First Class;2.62;1
293;7066;4763;CA-2015-115980;Standard Class;9.51;2
293;4277;4763;CA-2015-115980;Standard Class;9.51;2
310;845;4182;CA-2015-116190;Standard Class;256.48;3
310;4601;4182;CA-2015-116190;Standard Class;256.48;3
310;265;4182;CA-2015-116190;Standard Class;256.48;3
60;6042;901;CA-2015-116239;Same Day;354.90;1
402;398;2912;CA-2015-116246;Second Class;3785.29;1
556;2333;2171;CA-2015-116407;Standard Class;362.17;3
556;1952;2171;CA-2015-116407;Standard Class;362.17;3
556;5291;2171;CA-2015-116407;Standard Class;362.17;3
648;451;558;CA-2015-116568;Standard Class;186.30;1
168;7204;2696;CA-2015-116666;First Class;1799.97;1
652;1299;2407;CA-2015-116673;Second Class;6.16;1
262;5273;3277;CA-2015-116757;Standard Class;47.23;2
262;4376;3277;CA-2015-116757;Standard Class;47.23;2
145;4474;3085;CA-2015-116785;Standard Class;34.00;2
145;2630;3085;CA-2015-116785;Standard Class;34.00;2
480;912;1379;CA-2015-116834;Standard Class;408.47;2
480;6957;1379;CA-2015-116834;Standard Class;408.47;2
436;2885;4052;CA-2015-116904;Standard Class;9900.19;4
436;5782;4052;CA-2015-116904;Standard Class;9900.19;4
436;5938;4052;CA-2015-116904;Standard Class;9900.19;4
436;3097;4052;CA-2015-116904;Standard Class;9900.19;4
301;2468;3038;CA-2015-116932;Standard Class;1173.61;3
301;328;3038;CA-2015-116932;Standard Class;1173.61;3
301;1734;3038;CA-2015-116932;Standard Class;1173.61;3
61;2340;4052;CA-2015-117016;Standard Class;15.55;1
498;5739;2193;CA-2015-117317;Same Day;13.44;1
318;1855;465;CA-2015-117345;Standard Class;202.89;4
318;4458;465;CA-2015-117345;Standard Class;202.89;4
318;5357;465;CA-2015-117345;Standard Class;202.89;4
318;835;465;CA-2015-117345;Standard Class;202.89;4
470;782;3241;CA-2015-117429;Standard Class;129.92;1
303;2584;3450;CA-2015-117464;Second Class;1136.09;4
303;219;3450;CA-2015-117464;Second Class;1136.09;4
303;6273;3450;CA-2015-117464;Second Class;1136.09;4
303;1769;3450;CA-2015-117464;Second Class;1136.09;4
428;2820;2800;CA-2015-117478;First Class;6.57;1
192;7545;3313;CA-2015-117639;Standard Class;3333.90;2
192;3776;3313;CA-2015-117639;Standard Class;3333.90;2
160;3129;3620;CA-2015-117709;Standard Class;46.80;1
384;2930;3778;CA-2015-117765;Standard Class;643.78;4
384;685;3778;CA-2015-117765;Standard Class;643.78;4
384;6304;3778;CA-2015-117765;Standard Class;643.78;4
384;1515;3778;CA-2015-117765;Standard Class;643.78;4
13;3654;3172;CA-2015-118192;Standard Class;40.84;2
13;5453;3172;CA-2015-118192;Standard Class;40.84;2
689;1063;3071;CA-2015-118276;Standard Class;8.73;1
151;7405;2592;CA-2015-118304;Standard Class;19.98;1
80;1866;571;CA-2015-118339;Standard Class;249.92;5
80;2694;571;CA-2015-118339;Standard Class;249.92;5
80;2845;571;CA-2015-118339;Standard Class;249.92;5
80;4870;571;CA-2015-118339;Standard Class;249.92;5
80;3271;571;CA-2015-118339;Standard Class;249.92;5
326;5024;1013;CA-2015-118962;Standard Class;472.04;3
326;4939;1013;CA-2015-118962;Standard Class;472.04;3
326;578;1013;CA-2015-118962;Standard Class;472.04;3
148;4491;3322;CA-2015-118976;Standard Class;526.96;4
148;3210;3322;CA-2015-118976;Standard Class;526.96;4
148;5964;3322;CA-2015-118976;Standard Class;526.96;4
148;2788;3322;CA-2015-118976;Standard Class;526.96;4
600;4391;3265;CA-2015-119032;Standard Class;3.76;1
558;7979;2124;CA-2015-119144;First Class;730.85;3
558;161;2124;CA-2015-119144;First Class;730.85;3
558;5985;2124;CA-2015-119144;First Class;730.85;3
594;116;3233;CA-2015-119151;Second Class;1393.87;2
594;6320;3233;CA-2015-119151;Second Class;1393.87;2
173;3332;1929;CA-2015-119172;Standard Class;122.05;2
173;5481;1929;CA-2015-119172;Standard Class;122.05;2
564;2677;4794;CA-2015-119375;Standard Class;3116.49;3
564;6151;4794;CA-2015-119375;Standard Class;3116.49;3
564;1097;4794;CA-2015-119375;Standard Class;3116.49;3
653;956;4317;CA-2015-119466;Standard Class;8.54;1
527;2946;1328;CA-2015-119529;Second Class;5.76;1
472;5610;1339;CA-2015-119977;Second Class;123.92;1
268;5265;2570;CA-2015-120096;First Class;209.96;2
268;1827;2570;CA-2015-120096;First Class;209.96;2
681;4700;346;CA-2015-120243;Second Class;11.56;1
538;1888;3245;CA-2015-120278;Standard Class;317.48;4
538;6392;3245;CA-2015-120278;Standard Class;317.48;4
538;6159;3245;CA-2015-120278;Standard Class;317.48;4
538;4041;3245;CA-2015-120278;Standard Class;317.48;4
422;170;4026;CA-2015-120411;First Class;504.55;2
422;7680;4026;CA-2015-120411;First Class;504.55;2
357;6575;1455;CA-2015-120432;Second Class;25.50;1
611;2232;3951;CA-2015-120474;First Class;2854.48;2
611;376;3951;CA-2015-120474;First Class;2854.48;2
585;1029;4344;CA-2015-120544;Standard Class;46.08;3
585;2136;4344;CA-2015-120544;Standard Class;46.08;3
585;7066;4344;CA-2015-120544;Standard Class;46.08;3
